ÉÌÆ·Ãû³Æ,»õºÅ,ÌõÂë,ÑÕÉ«,¹æ¸ñ,ÊýÁ¿,±¸×¢
,139162030,1391620300943,ºì×Ø,43,1,
,139212046,1392120464639,Ä«ÂÌ,39,1,
,J1A1139,J1A11390138,ºÚÉ«,38,1,
,139151026,1391510260542,¿¨Æä,42,1,
,139162030,1391620300744,°µ×Ø,44,1,
,139202037,1392020370544,¿¨Æä,44,1,
,193152007,1931520070541,¿¨Æä,41,1,
,101203312B1,101203312B10738,Ç³×Ø,38,1,
,139203040,1392030400744,°µ×Ø,44,1,
,139153011,1391530110141,ºÚÉ«,41,1,
,139161027,1391610271342,À¶É«,42,1,
,139202037,1392020370740,°µ×Ø,40,1,
,J6A927,J6A9270142,ºÚÉ«,42,1,
,JB138,JB1382839,¿§É«,39,1,
,139162030,1391620300743,°µ×Ø,43,1,
,139112021,1391120210542,¿¨Æä,42,1,
,J301-183-01,J301-183-010639,»Æ×Ø,39,1,
,J2978-2,J2978-20538,¿¨Æä,38,1,
,139112017,1391120170538,¿¨Æä,38,1,
,JQ2358,JQ23580739,°µ×Ø,39,1,
,J1012,J10120540,¿¨Æä,40,1,
,139112025,1391120250238,Ç³×Ø,38,1,
,J1A1131,J1A11310240,Ç³×Ø,40,1,
,JB138,JB1382238,»ÒÉ«,38,1,
,139153011,1391530110644,»Æ×Ø,44,1,
,139151026,1391510260140,ºÚÉ«,40,1,
,J1A1171,J1A11710243,Ç³×Ø,43,1,
,139161027,1391610270338,×ØÉ«,38,1,
,139112025,1391120250242,Ç³×Ø,42,1,
,J301-183-01,J301-183-010641,»Æ×Ø,41,1,
,J1A1131,J1A11310738,°µ×Ø,38,1,
,J1A1130,J1A11300144,ºÚÉ«,44,1,
,139212048,1392120480338,×ØÉ«,38,1,
,139153013,1391530130238,Ç³×Ø,38,1,
,139152010,1391520100141,ºÚÉ«,41,1,
,139202036,1392020360542,¿¨Æä,42,1,
,139212046,1392120464643,Ä«ÂÌ,43,1,
,139152043,1391520430944,ºì×Ø,44,1,
,J1A1138,J1A11380739,°µ×Ø,39,1,
,139153013,1391530130544,¿¨Æä,44,1,
,J23662-1,J23662-10340,×ØÉ«,40,1,
,139192035,1391920351340,À¶É«,40,1,
,J2978-2,J2978-20540,¿¨Æä,40,1,
,J2978-2,J2978-20539,¿¨Æä,39,1,
,J1A1119,J1A11190244,Ç³×Ø,44,1,
,JB138,JB1382243,»ÒÉ«,43,1,
,139202037,1392020370544,¿¨Æä,44,1,
,139152008,1391520080539,¿¨Æä,39,1,
,J6832,J68320538,¿¨Æä,38,1,
,139112044,1391120440743,°µ×Ø,43,1,
,101203312B,101203312B1341,¿¨Æä,41,1,
,J1A1171,J1A11710843,¿§·È,43,1,
,139203038,1392030380540,¿¨Æä,40,1,
,139202037,1392020370741,°µ×Ø,41,1,
,139162045,1391620450744,°µ×Ø,44,1,
,J6A927,J6A9270140,ºÚÉ«,40,1,
,139203038,1392030380744,°µ×Ø,44,1,
,139132001,1391320010140,ºÚÉ«,40,1,
,139122004,1391220043838,°µ¿¨Æä,38,1,
,139122004,1391220043842,°µ¿¨Æä,42,1,
,139163032,1391630324441,Å£×ÐÀ¼,41,1,
,139212046,1392120464640,Ä«ÂÌ,40,1,
,139212049,1392120490142,ºÚÉ«,42,1,
,139213051,1392130510242,Ç³×Ø,42,1,
,139112044,1391120440140,ºÚÉ«,40,1,
,139153012,1391530120641,»Æ×Ø,41,1,
,101203312B,101203312B0742,Ç³×Ø,42,1,
,J1A1138,J1A11380144,ºÚÉ«,44,1,
,139122004,1391220043841,°µ¿¨Æä,41,1,
,139202036,1392020360238,Ç³×Ø,38,1,
,139113015,1391130154038,ÐÓÉ«,38,1,
,139122005,1391220050541,¿¨Æä,41,1,
,JQ2358,JQ23580744,°µ×Ø,44,1,
,139122006,1391220060539,¿¨Æä,39,1,
,193152007,1931520070541,¿¨Æä,41,1,
,139202037,1392020370743,°µ×Ø,43,1,
,101203312B1,101203312B11340,¿¨Æä,40,1,
,J9A0157,J9A01570943,ºì×Ø,43,1,
,JB138,JB1382240,»ÒÉ«,40,1,
,J9A0157,J9A01570241,Ç³×Ø,41,1,
,3333,3333null50ÀåÃ×£¨1³ß5),ÌìÀ¶É«,50ÀåÃ×£¨1³ß5),1,
,139162041,1391620410239,Ç³×Ø,39,1,
,JQ2357,JQ23570741,°µ×Ø,41,1,
,JK8068-13A,JK8068-13A0642,»Æ×Ø,42,1,
,139212046,1392120464641,Ä«ÂÌ,41,1,
,JQ2358,JQ23580239,Ç³×Ø,39,1,
,139213051,1392130510241,Ç³×Ø,41,1,
,J6817,J68170741,°µ×Ø,41,1,
,139112022,1391120220239,Ç³×Ø,39,1,
,J1012,J10120743,°µ×Ø,43,1,
,139152008,1391520080641,»Æ×Ø,41,1,
,J6832,J68320543,¿¨Æä,43,1,
,139122004,1391220043841,°µ¿¨Æä,41,1,
,J1A1160,J1A11600140,ºÚÉ«,40,1,
,JD6991-1,JD6991-10139,ºÚÉ«,39,1,
,J2420-1,J2420-10940,ºì×Ø,40,1,
,139212048,1392120480239,Ç³×Ø,39,1,
,139162031,1391620310744,°µ×Ø,44,1,
,JQ2357,JQ23570241,Ç³×Ø,41,1,
,139162042,1391620420544,¿¨Æä,44,1,
